Timestamp,Prompt Throughput (tok/s),Generation Throughput (tok/s),Running Reqs,Waiting Reqs,KV Cache Usage (%),Prefix Cache Hit Rate (%)
09-03 15:28:23,1010.1270448495545,9362.743124660958,505,1,22.031688728439633,0.0
09-03 15:28:33,955.4127482406171,9319.148941499268,507,3,22.55064179703169,0.0
09-03 15:28:43,870.9543094904084,8377.960489821398,506,4,22.706077015643803,0.0
09-03 15:28:54,734.3955400936994,8814.84475409609,506,5,22.994384275972727,0.0
09-03 15:29:04,921.3120967633054,8732.818926086562,504,1,23.26514239871641,0.0
09-03 15:29:14,760.2466970952495,9019.181292078176,503,3,23.448154833533895,0.0
09-03 15:29:24,1042.1764810702552,9072.454201672988,503,3,23.583533894905738,0.0
09-03 15:29:34,1092.9170914566128,8905.879783944903,506,4,23.59356197352587,0.0
09-03 15:29:44,1582.6286697689168,7611.033321680054,508,3,23.215002005615727,0.0
09-03 15:29:54,1385.5475706582317,8667.169868403225,507,3,22.914159647011633,0.0
09-03 15:30:04,1194.341457840316,8648.200195308775,505,2,22.861512234255915,0.0
09-03 15:30:14,1149.5149025436033,8517.369467524715,510,2,22.87655435218612,0.0
09-03 15:30:24,1392.9617675829445,8350.672838489027,508,3,22.838949057360615,0.0
09-03 15:30:34,519.3358744183765,9653.049349319126,508,4,23.094665062174087,0.0
09-03 15:30:44,1562.0300062190045,7764.866555297172,508,4,22.55064179703169,0.0
09-03 15:30:54,1310.8168063563514,8571.332648075333,507,3,22.410248696349775,0.0
09-03 15:31:04,1042.4044379143122,8275.453587961152,504,3,22.119434416365824,0.0
09-03 15:31:14,1358.22350816383,8318.3817461424,507,2,21.87123947051745,0.0
09-03 15:31:24,1215.2300298578043,7822.730963710413,506,0,21.602988367428804,0.0
09-03 15:31:34,830.7648212803773,9427.231273395704,507,4,21.605495387083835,0.0
09-03 15:31:44,1490.3173775667717,8563.326863412076,506,5,21.164259927797836,0.0
09-03 15:31:54,1174.8104793879488,7855.895296349723,505,5,20.86091054953871,0.0
09-03 15:32:04,1678.5484624137953,7695.529865560709,504,3,20.031087043722422,0.0
09-03 15:32:14,1318.9431592002527,7857.978241265291,504,1,19.825511432009627,0.0
09-03 15:32:24,1876.0915456165822,8277.856552733594,507,1,18.94304051343762,0.0
09-03 15:32:34,570.9676223664242,9865.640553050112,506,0,19.291516245487365,0.0
09-03 15:32:44,898.8166702359312,8476.927857782895,503,2,19.38678299237866,0.0
09-03 15:32:54,1026.2560547011608,9289.086802546391,503,2,19.647513036502207,0.0
09-03 15:33:04,954.0499606823961,9193.090656454966,507,1,20.033594063377457,0.0
09-03 15:33:14,1032.8695176771691,9177.474985627981,507,1,20.341957480946647,0.0
09-03 15:33:24,1050.4176996338128,9279.52271025002,508,1,20.72302446851183,0.0
09-03 15:33:34,1008.1636730518658,9438.85116604434,507,5,21.016345768150828,0.0
09-03 15:33:44,613.3593148456727,9154.392773740028,504,3,21.31468110709988,0.0
09-03 15:33:54,1023.2682640044745,8489.547751470496,504,3,21.51774969915764,0.0
09-03 15:34:04,852.8511971296213,9044.400980717915,502,7,21.78600080224629,0.0
09-03 15:34:14,1064.3476656849843,8718.352189485007,503,4,21.643100681909345,0.0
09-03 15:34:24,741.6346833951667,8697.788403764667,505,7,22.121941436020858,0.0
09-03 15:34:34,1242.6999626639952,8607.429183918857,505,3,22.009125551544322,0.0
09-03 15:34:44,886.7877055807403,9684.265737399775,507,4,21.918872843963097,0.0
09-03 15:34:54,1361.4092174603875,8166.65529257529,507,1,21.750902527075812,0.0
09-03 15:35:04,964.051705901035,8730.157094041575,505,4,21.961492178098673,0.0
09-03 15:35:14,990.2960484235228,8963.964231110227,504,3,21.99909747292419,0.0
09-03 15:35:24,837.0814058149491,9306.893264914961,505,1,22.435318892900124,0.0
09-03 15:35:34,1424.6362889839618,8471.421150427688,504,4,22.284897713598074,0.0
09-03 15:35:44,1491.0220028333092,7984.44682230761,507,4,21.773465703971123,0.0
09-03 15:35:54,1427.9551871138701,8295.154208553337,505,2,21.51273565984757,0.0
09-03 15:36:04,960.4092742291207,9276.192001219955,505,3,21.77847974328119,0.0
09-03 15:36:14,942.7186336371236,8874.351337006094,506,3,21.963999197753708,0.0
09-03 15:36:24,1014.2796001739026,8732.280633841723,506,5,21.8085639791416,0.0
09-03 15:36:34,1342.8551844739386,7735.48974518384,505,5,21.39239871640594,0.0
09-03 15:36:44,1351.554395291202,8859.945506573804,507,3,21.555354993983155,0.0
09-03 15:36:54,930.104658776716,9789.144077195078,504,4,21.42498997192138,0.0
09-03 15:37:04,969.4997283545755,8468.471115963692,504,3,21.46760930605696,0.0
09-03 15:37:14,1174.009306143447,8253.959312728664,504,6,21.169273967107898,0.0
09-03 15:37:24,1044.831083609262,8439.835543504787,500,5,20.878459687123947,0.0
09-03 15:37:34,1623.2809233928026,7979.082366702856,506,3,20.7280385078219,0.0
09-03 15:37:44,589.053179317751,9070.039305370727,506,5,20.843361411953467,0.0
09-03 15:37:54,1115.477140746418,8813.149157266711,504,4,20.84336141195347,0.0
09-03 15:38:04,811.6062785210493,9186.179952987139,507,4,21.404933814681105,0.0
09-03 15:38:14,1382.1958731644718,9224.502937120798,505,2,21.327216205375056,0.0
09-03 15:38:24,1058.910469927651,8979.24487136441,504,3,21.447553148816688,0.0
09-03 15:38:34,963.1872533528663,9490.68905987204,505,1,21.73586040914561,0.0
09-03 15:38:44,742.8333508213217,9472.299801342482,506,2,21.933914961893297,0.0
