Timestamp,Prompt Throughput (tok/s),Generation Throughput (tok/s),Running Reqs,Waiting Reqs,KV Cache Usage (%),Prefix Cache Hit Rate (%)
09-03 17:00:18,0.0,34.29664610743547,1,0,0.057717678100263625,0.0
09-03 17:00:28,0.0,34.19842455456895,1,0,0.06184036939314019,0.0
09-03 17:00:38,0.0,34.19940358652549,1,0,0.07008575197889194,0.0
09-03 17:00:48,21.300653870084428,33.901040666472404,1,0,0.020613456464380064,0.0
09-03 17:00:58,0.0,34.199766678576516,1,0,0.024736147757255245,0.0
09-03 17:01:08,0.0,34.19674257582833,1,0,0.03298153034300838,0.0
09-03 17:01:18,0.0,34.19515314447572,1,0,0.03710422163588356,0.0
09-03 17:01:28,0.0,34.296272997630616,1,0,0.04122691292876013,0.0
09-03 17:01:38,0.0,34.199479880475906,1,0,0.04947229551451188,0.0
09-03 17:01:48,0.0,34.197793848884494,1,0,0.053594986807388445,0.0
09-03 17:01:58,0.0,34.19944547585614,1,0,0.057717678100263625,0.0
09-03 17:02:08,0.0,34.20307553689498,1,0,0.06596306068601537,0.0
09-03 17:02:18,0.0,34.19358694274289,1,0,0.07008575197889194,0.0
09-03 17:02:28,39.59960576563536,33.59966549811485,1,0,0.024736147757255245,0.0
09-03 17:02:38,0.0,34.198000934462854,1,0,0.03298153034300838,0.0
09-03 17:02:48,0.0,34.20027448815803,1,0,0.03710422163588356,0.0
09-03 17:02:58,0.0,34.19945780507269,1,0,0.04122691292876013,0.0
09-03 17:03:08,0.0,34.19865485752965,1,0,0.04947229551451188,0.0
09-03 17:03:18,0.0,34.29708523822006,1,0,0.053594986807388445,0.0
09-03 17:03:28,0.0,34.201039093609594,1,0,0.057717678100263625,0.0
09-03 17:03:38,0.0,34.19976895272361,1,0,0.06596306068601537,0.0
09-03 17:03:48,0.0,34.200309440704295,1,0,0.07008575197889194,0.0
09-03 17:03:58,0.0,34.19908483985382,1,0,0.07420844327176712,0.0
09-03 17:04:08,0.0,34.200103985033444,1,0,0.08245382585752026,0.0
09-03 17:04:18,0.0,34.199827922992085,1,0,0.08657651715039544,0.0
09-03 17:04:28,0.0,34.197886947832345,1,0,0.090699208443272,0.0
09-03 17:04:38,0.0,34.199087660129706,1,0,0.09894459102902375,0.0
09-03 17:04:48,0.0,34.19901583799181,1,0,0.10306728232190032,0.0
09-03 17:04:58,88.79209456565609,32.897071072185646,1,0,0.028858839050131813,0.0
09-03 17:05:08,0.0,34.2000846384884,1,0,0.03298153034300838,0.0
09-03 17:05:18,0.0,34.198285978410276,1,0,0.04122691292876013,0.0
09-03 17:05:28,0.0,34.298541429644196,1,0,0.04534960422163531,0.0
09-03 17:05:38,0.0,34.199093036331675,1,0,0.04947229551451188,0.0
09-03 17:05:48,0.0,34.197734339454186,1,0,0.057717678100263625,0.0
09-03 17:05:58,0.0,34.19964672730146,1,0,0.06184036939314019,0.0
09-03 17:06:08,0.0,34.19863683912208,1,0,0.06596306068601537,0.0
09-03 17:06:18,1887.308853573634,40.59588845302757,42,787,1.0100593667546163,0.0
09-03 17:06:28,13450.972503024146,1016.8374446784262,258,571,6.447889182058048,0.0
09-03 17:06:38,12073.826402146802,2515.8721030426973,457,372,11.687829815303433,0.0
09-03 17:07:06,892.0505231785194,274.1966047129559,500,329,12.813324538258575,0.0
